created,favoriteCount,favorited,id,isRetweet,latitude,longitude,replyToSID,replyToSN,replyToUID,retweetCount,retweeted,screenName,statusSource,text,truncated,Region
4/21/2017,0,FALSE,8.55283E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,JacobSetterbo,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","A Clue to the Mystery of #Colombia’s Missing #Zika Cases
(They suspect that microcephaly is the end of the spectrum)
https://t.co/tIVMDChVON",FALSE,Houston
4/21/2017,0,FALSE,8.55279E+17,TRUE,NA,NA,NA,NA,NA,5,FALSE,Jess_J_Herrera,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Forrest4Trees: It's worth reading this @NYTmag story on climate change &amp; Zika despite basic geography errors. Dallas<U+2260>Central Texas http…,FALSE,Houston
4/20/2017,11,FALSE,8.5526E+17,FALSE,NA,NA,NA,NA,NA,5,FALSE,Forrest4Trees,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",It's worth reading this @NYTmag story on climate change &amp; Zika despite basic geography errors. Dallas<U+2260>Central Texas… https://t.co/3oVUPdZZbx,TRUE,Houston
4/20/2017,0,FALSE,8.55233E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,akseemar,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis: turn sharing into growth</a>",Florida releases thousands of mosquitoes infected with bacteria intended to control... https://t.co/2rzF5uSHbt by… https://t.co/d3z4N4wdoX,TRUE,Houston
4/20/2017,0,FALSE,8.55223E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,benhuynhhouston,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis: turn sharing into growth</a>",Florida releases thousands of mosquitoes infected with bacteria intended to control... https://t.co/zKWbEb7Ha7 by… https://t.co/lwRgDPoi1R,TRUE,Houston
4/20/2017,0,FALSE,8.55217E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,electro_edward,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Florida releases thousands of mosquitoes infected with bacteria intended to control Zika-transmitting Aedes aegypt… https://t.co/gIaPUxPKG4,FALSE,Houston
4/20/2017,0,FALSE,8.55159E+17,FALSE,NA,NA,8.55158E+17,leeladaou,821387408,0,FALSE,DorisMurdock,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@leeladaou @KHayhoe And this time it includes Zika,FALSE,Houston
4/20/2017,0,FALSE,8.55122E+17,FALSE,NA,NA,NA,NA,NA,2,FALSE,utsystem,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Researchers from @utmbhealth, @UTSWNews &amp; @utepnews: Climate change increases the potential for viruses like Zika. https://t.co/JvKcm1hvOh",FALSE,Houston
4/20/2017,1,FALSE,8.55121E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,Luminex,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","Our #Zika virus update—New study findings, local case reports: https://t.co/no2mIWBGdB https://t.co/cJySxI3IRB",FALSE,Houston
4/20/2017,0,FALSE,8.5511E+17,TRUE,NA,NA,NA,NA,NA,2,FALSE,Jake__Zika,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ChrisJo47024394: Stick to cheerleading<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/KL3xuUpFTx,FALSE,Houston
4/20/2017,0,FALSE,8.55106E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,bayouphysicist,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",I liked a @YouTube video https://t.co/iJKIyqO4Ds Aiden lab creates genome assembly technique in response to Zika,FALSE,Houston
4/20/2017,0,FALSE,8.55104E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,BCMEthics,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Enhanced Epilepsy Surveillance and Awareness in the Age of #Zika https://t.co/lGnjK8AljX @SMorain,FALSE,Houston
4/20/2017,0,FALSE,8.55089E+17,FALSE,NA,NA,8.55089E+17,FoxandtheFlu,376412811,0,FALSE,FoxandtheFlu,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@marynmck @PeterHotez Working on improving Zika risk estimates for Texas now, but it's hard bcuz of #climatechange… https://t.co/pNmECcWrc4",TRUE,Houston
4/20/2017,0,FALSE,8.55089E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,ZikaFoundation,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Zika virus can trigger epilepsy https://t.co/05leh43CEj,FALSE,Houston
4/20/2017,0,FALSE,8.55072E+17,TRUE,NA,NA,NA,NA,NA,1,FALSE,HaleyKPRC,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @houstonivf: Thanks @KPRC2 and @HaleyKPRC for coming by and talking with Dr. Nodler about the latest developments with the Zika virus. h…,FALSE,Houston
4/20/2017,3,FALSE,8.55065E+17,FALSE,NA,NA,NA,NA,NA,1,FALSE,houstonivf,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Thanks @KPRC2 and @HaleyKPRC for coming by and talking with Dr. Nodler about the latest developments with the Zika… https://t.co/Fyw5tvHUKp,TRUE,Houston
4/20/2017,0,FALSE,8.55041E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,theemerginginsu,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",‘They’re just hiding’: Experts say Puerto Rico may be underreporting Zika-affected births https://t.co/eaK0IIYcVb,FALSE,Houston
4/20/2017,0,FALSE,8.55021E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,nunez_anna,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","In #HarrisCounty, #Zika “is a needle in a haystack, times two,” @ushahmd exec dir @HCPHTX
#TXHealth #TXlege #Hounews https://t.co/5mg6HB2oAw",FALSE,Houston
4/20/2017,0,FALSE,8.54917E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,theemerginginsu,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Florida’s New Tactic to Fight Zika: Release of 20K Bacteria-Infected Mosquitoes https://t.co/JYahMo5r54 https://t.co/3y3pFzGSu1,FALSE,Houston
4/20/2017,0,FALSE,8.54917E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,theemerginginsu,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Florida’s New Tactic to Fight Zika: Release of 20K Bacteria-Infected Mosquitoes https://t.co/ozGApcvHse https://t.co/qX8dHc4cLP,FALSE,Houston
4/20/2017,0,FALSE,8.54917E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,theemerginginsu,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Florida’s New Tactic to Fight Zika: Release of 20K Bacteria-Infected Mosquitoes https://t.co/xNsc61mqAn https://t.co/zTmhexAmau,FALSE,Houston
4/19/2017,36,FALSE,8.54904E+17,FALSE,NA,NA,8.54904E+17,jsapp24,2895311467,0,FALSE,ChrisJo47024394,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@jsapp24 @Jake__Zika moving to adel from waukee cuz u can't start varsity is a bit basic and unoriginal<ed><U+00A0><U+00BE><ed><U+00B4><U+0094>,FALSE,Houston
4/19/2017,0,FALSE,8.54882E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,leonhardtmindy,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SO #Zika baby moms.
Will your babies be MURDERED to get the organs for the CHOSEN or will you WAIT until the HEART stops before butchering?",FALSE,Houston
4/19/2017,0,FALSE,8.54864E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,firedog2317,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Florida Releases Killer Mosquitoes To Fight Zika https://t.co/sDvDlnORLB,FALSE,Houston
4/19/2017,0,FALSE,8.54862E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,bucwaas,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The Zika-crusted churrasco is to die for https://t.co/HgO0EB0hv7,FALSE,Houston
4/19/2017,0,FALSE,8.54822E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,tucksnews,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>",Florida Releases Killer Mosquitoes To Fight Zika https://t.co/0tmZhiwjMI https://t.co/LOBPWjYFVA,FALSE,Houston
4/19/2017,0,FALSE,8.54774E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,tobygwinn,"<a href=""http://new-website-design.com/"" rel=""nofollow"">DCD Demo App</a>",What weighs under a pound and is #Smartphone controlled? Researchers develop diagnostic device to detect Zika.… https://t.co/w8sYfayWdi,TRUE,Houston
4/19/2017,0,FALSE,8.5477E+17,TRUE,NA,NA,NA,NA,NA,1,FALSE,BCM_TropMed,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bcmhouston: .@BCM_TropMed will study DNA-based vaccine for #Zika to evaluate safety, ability to stimulate an immune response. https://t…",FALSE,Houston
4/19/2017,0,FALSE,8.54767E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,Nard1000000,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","Fast CRISPR test easily detects Zika and antibiotic resistance

https://t.co/kwOaQYoIPN https://t.co/6JTHg9Ej84",FALSE,Houston
4/19/2017,0,FALSE,8.54765E+17,TRUE,NA,NA,NA,NA,NA,2,FALSE,ushahmd,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @hcphtx: @NACoTweets A7 Resources, funding, competing priorities #zika #obesity #diabetes #countyhealth",FALSE,Houston
4/19/2017,6,FALSE,8.54764E+17,FALSE,NA,NA,8.54764E+17,NACoTweets,44916396,2,FALSE,hcphtx,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@NACoTweets A7 Resources, funding, competing priorities #zika #obesity #diabetes #countyhealth",FALSE,Houston
4/19/2017,0,FALSE,8.5476E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,theemerginginsu,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Epilepsy: Another Potential Zika Threat to Babies https://t.co/zeWL1UfCgz https://t.co/jQfcxyBmkL,FALSE,Houston
4/19/2017,0,FALSE,8.54743E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,wolfjon4,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis: turn sharing into growth</a>",CDC issues fresh Zika virus warning to south Florida women and men https://t.co/Gvr3d96Xjn via @nbcnews,FALSE,Houston
4/19/2017,0,FALSE,8.5473E+17,TRUE,NA,NA,NA,NA,NA,1,FALSE,vagg0304,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ZikaFoundation: Zika Testing Advised for Pregnant Women in 6 Texas Counties https://t.co/2CMQVQgiGQ via @nbcdfw,FALSE,Houston
4/19/2017,0,FALSE,8.54714E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,ZikaFoundation,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Austrian biotech Themis launches Zika vaccine clinical trial https://t.co/4xTuUnd7XX via @YahooFinance,FALSE,Houston
4/19/2017,0,FALSE,8.54713E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,DHealthDaily,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Zika Can Harm Babies' Vision, TooStudy of 43 South American infants found damage to retinas and optic nerves
Sourc… https://t.co/MMmAqOtJtU",FALSE,Houston
4/19/2017,0,FALSE,8.54699E+17,FALSE,NA,NA,8.54698E+17,SophieNovack,505460403,0,FALSE,SophieNovack,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","In Cameron County, 39 ppl tested positive for Zika 1/15-3/17 she says. 6 locally acquired, 4 under investigation, 29 travel-related. #txlege",FALSE,Houston
4/19/2017,0,FALSE,8.54698E+17,FALSE,NA,NA,8.54696E+17,SophieNovack,505460403,0,FALSE,SophieNovack,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cameron County only so far w locally acquired Zika cases, says Health Admin. Esmeralda Guajardo, notes task force is ""long overdue."" #txlege",FALSE,Houston
